country,crpd_category,crpd_category_v,year,cpi_score,power_distance,individualism,motivation,uncertainty_avoidance,long_term_orientation,indulgence,democracy_index,democracy_cat,freedom_index,gdp,human_development_index,life_expectancy,expected_years_of_schooling,mean_years_of_schooling,crime_index,safety_index,unemployment_rate,signed,ratified,protocol
Honduras,signed and ratified convention with protocol,5,2022,23,NA,NA,NA,NA,NA,NA,5.15,Hybrid Regime,47,3040.17,NA,NA,NA,NA,74.2,25.8,NA,TRUE,TRUE,TRUE
Hungary,signed and ratified convention with protocol,5,2022,42,NA,NA,NA,NA,NA,NA,6.64,Flawed Democracy,69,18463.21,NA,NA,NA,NA,34.3,65.7,3.61,TRUE,TRUE,TRUE
Iceland,signed and ratified convention with protocol,5,2022,74,NA,NA,NA,NA,NA,NA,9.52,Full Democracy,94,72902.98,NA,NA,NA,NA,23.5,76.5,3.79,TRUE,TRUE,TRUE
India,signed and ratified convention,3,2022,40,NA,NA,NA,NA,NA,NA,7.04,Flawed Democracy,66,2388.62,NA,NA,NA,NA,44.6,55.4,NA,TRUE,TRUE,FALSE
Indonesia,signed and ratified convention,3,2022,34,NA,NA,NA,NA,NA,NA,6.71,Flawed Democracy,59,4788,NA,NA,NA,NA,46.1,53.9,3.46,TRUE,TRUE,FALSE
Iran,signed or ratified convention,2,2022,25,NA,NA,NA,NA,NA,NA,1.96,Authoritarian Regime,14,4387.83,NA,NA,NA,NA,49.1,50.9,NA,FALSE,TRUE,FALSE
Iraq,signed or ratified convention,2,2022,23,NA,NA,NA,NA,NA,NA,3.13,Authoritarian Regime,29,5937.2,NA,NA,NA,NA,47,53,NA,FALSE,TRUE,FALSE
Ireland,signed and ratified convention,3,2022,77,NA,NA,NA,NA,NA,NA,9.13,Full Democracy,97,104038.95,NA,NA,NA,NA,45.5,54.5,4.48,TRUE,TRUE,FALSE
Israel,signed and ratified convention,3,2022,63,NA,NA,NA,NA,NA,NA,7.93,Flawed Democracy,76,54659.75,NA,NA,NA,NA,32.1,67.9,NA,TRUE,TRUE,FALSE
Italy,signed and ratified convention with protocol,5,2022,56,NA,NA,NA,NA,NA,NA,7.69,Flawed Democracy,90,34157.99,NA,NA,NA,NA,45.2,54.8,8.07,TRUE,TRUE,TRUE
Jamaica,signed and ratified convention with protocol,5,2022,44,NA,NA,NA,NA,NA,NA,7.13,Flawed Democracy,80,6047.22,NA,NA,NA,NA,67.8,32.2,NA,TRUE,TRUE,TRUE
Japan,signed and ratified convention,3,2022,73,NA,NA,NA,NA,NA,NA,8.33,Full Democracy,96,33815.32,NA,NA,NA,NA,22.1,77.9,2.6,TRUE,TRUE,FALSE
Jordan,signed and ratified convention with protocol,5,2022,47,NA,NA,NA,NA,NA,NA,3.17,Authoritarian Regime,33,4204.51,NA,NA,NA,NA,40.2,59.8,NA,TRUE,TRUE,TRUE
Kazakhstan,signed and ratified convention with protocol,5,2022,36,NA,NA,NA,NA,NA,NA,3.08,Authoritarian Regime,23,11243.67,NA,NA,NA,NA,53.4,46.6,4.86,TRUE,TRUE,TRUE
Kenya,signed and ratified convention,3,2022,32,NA,NA,NA,NA,NA,NA,5.05,Hybrid Regime,48,2099.3,NA,NA,NA,NA,56.2,43.8,NA,TRUE,TRUE,FALSE
Kiribati,signed or ratified convention,2,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,1701.97,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
Kuwait,signed or ratified convention,2,2022,42,NA,NA,NA,NA,NA,NA,3.83,Authoritarian Regime,37,43233.49,NA,NA,NA,NA,33.4,66.6,NA,FALSE,TRUE,FALSE
Kyrgyzstan,signed and ratified convention,3,2022,27,NA,NA,NA,NA,NA,NA,3.62,Authoritarian Regime,27,NA,NA,NA,NA,NA,56.6,43.4,NA,TRUE,TRUE,FALSE
